,file_name,tier_name,text,clean_text,start_time,end_time
0,../transcriptions_annotations/r5/r5.TextGrid,B-utts,<laughter/>,,723.134586892,726.83944448
1,../transcriptions_annotations/r5/r5.TextGrid,B-utts,{X Eijeijeijei},,726.934662782,727.627159528
2,../transcriptions_annotations/r5/r5.TextGrid,B-utts,{F ähm},,738.649839171,739.342335916
3,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Ich würde das gerne kombinieren . in einem Zimmer .. dass ich <v='ein'>'n</v> Schlafzimmer und Arbeitszimmer .. habe,Ich würde das gerne kombinieren in einem Zimmer dass ich 'n Schlafzimmer und Arbeitszimmer habe,740.510924174,746.121810402
4,../transcriptions_annotations/r5/r5.TextGrid,B-utts,{F Ähm},,756.121394754,756.471607344
5,../transcriptions_annotations/r5/r5.TextGrid,B-utts,(In deinem Schla + {F äh} in deinem Schlafzimmer),In deinem Schla in deinem Schlafzimmer,756.471607344,758.597070619
6,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Ja,Ja,758.70960134,759.047193503
7,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Ja oder wir suchen uns . gleich was aus,Ja oder wir suchen uns gleich was aus,759.748346458,761.99896088
8,../transcriptions_annotations/r5/r5.TextGrid,B-utts,dass du zwei Zimmer bekommst,dass du zwei Zimmer bekommst,762.121810402,763.480835265
9,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Nö <laughter/>,Nö,768.068626203,768.934247134
10,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Wir können ja erstmal sagen was groß oder klein haben wollen und dann -,Wir können ja erstmal sagen was groß oder klein haben wollen und dann -,773.333264059,776.743810529
11,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Wenn der Zeichner kommt .. <v='können'>könn'</v> <v='wir'>wa</v>  dann ja vielleicht die Quadratmeterzahlen festlegen,Wenn der Zeichner kommt könn' wa dann ja vielleicht die Quadratmeterzahlen festlegen,779.385616962,783.713721621
12,../transcriptions_annotations/r5/r5.TextGrid,B-utts,(<p='Dürfen'>Dürf-</p> + {ja} dürfen) wir <v='nicht'>nich</v> überschreiten das stimmt,Dürf- dürfen wir nich überschreiten das stimmt,786.433433938,788.43301829
13,../transcriptions_annotations/r5/r5.TextGrid,B-utts,{Also} ich hätte (vom + vom) {F äh} Grundsätzlichen her ... <v='eine'>'ne</v> etwas kleinere Küche . die aber {F ähm} ... nicht zu klein <v='ist'>is'</v> aber geräumig <v='ist'>is'</v>,ich hätte vom vom Grundsätzlichen her 'ne etwas kleinere Küche die aber nicht zu klein is' aber geräumig is',789.497732036,798.848100689
14,../transcriptions_annotations/r5/r5.TextGrid,B-utts,{F Äh:m},,800.769779157,801.304870253
15,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Nee seperat,Nee seperat,801.304870253,802.27762217
16,../transcriptions_annotations/r5/r5.TextGrid,B-utts,aber dafür <v='ein'>'n</v> größeres Ess- und Wohnzimmer,aber dafür 'n größeres Ess- und Wohnzimmer,802.502683612,804.735985616
17,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Mhm,Mhm,807.921470644,808.296900588
18,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Genau,Genau,808.296900588,808.61396739
19,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Ja,Ja,816.492780459,816.821716413
20,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Kann man,Kann man,816.961878354,817.368720192
21,../transcriptions_annotations/r5/r5.TextGrid,B-utts,<v='Wäre'>Wär</v> ich mit einverstanden,Wär ich mit einverstanden,817.706312355,818.632526752
22,../transcriptions_annotations/r5/r5.TextGrid,B-utts,<laughter/>,,819.333679707,821.359232687
23,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Ja das reicht aus,Ja das reicht aus,832.873653669,833.730618392
24,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Das <v='finde'>find'</v> ich gut,Das find' ich gut,833.914061379,834.580589496
25,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Ja,Ja,837.099546407,837.281326803
26,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Sehr gerne,Sehr gerne,838.294103293,838.822132061
27,../transcriptions_annotations/r5/r5.TextGrid,B-utts,<laughter/>,,838.96063141,840.674560855
28,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Ja,Ja,846.138291525,846.475890043
29,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Großes Wohnzimmer <v='finde'>find'</v> ich gut,Großes Wohnzimmer find' ich gut,846.475890043,847.705065411
30,../transcriptions_annotations/r5/r5.TextGrid,B-utts,Ich <v='habe'>hab'</v> halt gerne das Schlafzimmer und mein Arbeitszimmer in einem,Ich hab' halt gerne das Schlafzimmer und mein Arbeitszimmer in einem,848.960215762,851.524116311
31,../transcriptions_annotations/r5/r5.TextGrid,B-utts,und <unclear/> dann häng ich auch gerne im Wohnzimmer rum,und dann häng ich auch gerne im Wohnzimmer rum,852.398393452,854.917350364
32,../transcriptions_annotations/r5/r5.TextGrid,B-utts,ja,ja,875.697240498,876.008864033
33,../transcriptions_annotations/r5/r5.TextGrid,B-utts,<unsure> so um Dreh </unsure>,so um Dreh,878.034417235,878.527821166
