,text,pos_tag,mintime,maxtime
0,Mhm,PROPN,555.79196,556.1209
1,ja,ADV,557.06442,557.21154
2,ja,ADV,564.57219,564.75219
3,also,ADV,565.86227,566.11227
4,mehr,ADV,567.68027,568.3295
5,ja,ADV,578.00879,578.35592
6,ja,ADV,578.87442,579.12154
7,genau,ADV,579.24662,579.53375
8,mittig,ADV,585.1976,585.5676
9,ja,ADV,585.98265,586.12133
10,ja,ADV,587.58806,587.77806
11,direkt,ADV,598.21737,598.4645
12,in,ADP,598.4645,598.5345
13,der,DET,598.5345,598.6745
14,Küche,NOUN,598.6745,598.9245
15,steht,VERB,598.9245,599.2821
16,achso,VERB,601.4194,601.7394
17,ja,ADV,604.6576,604.92473
18,ich,PRON,604.92473,604.98473
19,auch,ADV,605.01473,605.42802
20,also,ADV,605.44698,605.7341
21,allein,ADV,605.7641,606.3041
22,schon,ADV,606.3041,606.6491
23,äh,INTJ,606.7141,606.9041
24,für,ADP,606.9041,606.9541
25,die,DET,606.9541,607.1041
26,Schuhe,NOUN,607.1041,607.40329
27,ja,ADV,609.19512,609.38225
28,ja,ADV,617.25573,617.34285
29,ja,ADV,617.34285,617.69285
30,genau,ADV,617.69285,618.04344
31,ja,ADV,618.04344,618.38056
32,ja,ADV,618.38056,618.57056
33,genau,ADV,618.57056,618.84056
34,ja,ADV,625.44733,625.64527
35,ja,ADV,640.86621,640.98333
36,ja,ADV,640.98333,641.13333
37,genau,ADV,641.13333,641.42333
38,wo,ADV,641.42333,641.75333
39,wo,ADV,641.75333,641.94333
40,wo,ADV,641.94333,642.02333
41,man,PRON,642.02333,642.48333
42,das,PRON,642.48333,642.67833
43,Essen,PROPN,642.67833,642.92333
44,so,ADV,642.92333,643.08333
45,durchreicht,NOUN,643.08333,643.72333
46,so,ADV,643.72333,643.83529
47,ja,ADV,643.83529,644.04242
48,ja,ADV,644.04242,644.21617
49,ja,ADV,644.23348,644.38065
50,nee,X,654.77123,655.02246
51,also,ADV,659.64487,659.852
52,also,ADV,659.962,660.152
53,den,DET,660.152,660.292
54,Flur,NOUN,660.342,660.582
55,ich,PRON,660.612,660.772
56,ja,ADV,660.772,660.902
57,ich,PRON,660.972,661.372
58,ja,ADV,661.372,661.472
59,schon,ADV,661.472,661.612
60,mal,ADV,661.612,661.807
61,sagen,VERB,661.807,662.112
62,ist,AUX,662.112,662.272
63,ja,ADV,662.272,662.332
64,okay,ADV,662.332,662.75413
65,dann,ADV,663.52452,663.96165
66,ich,PRON,663.99165,664.15165
67,aber,CCONJ,664.15165,664.64119
68,ja,ADV,664.78831,665.08544
69,ja,ADV,668.4499,668.57702
70,ja,ADV,668.57702,668.73702
71,genau,ADV,668.73702,669.06702
72,und,CCONJ,669.37777,669.4449
73,dann,ADV,669.4449,669.6549
74,ich,PRON,669.6849,669.8149
75,äh,INTJ,670.0049,670.4049
76,sozusagen,ADV,670.7649,671.2449
77,am,PART,671.2449,671.3349
78,Ende,NOUN,671.3349,671.6749
79,des,DET,671.6749,671.8149
80,Flurs,NOUN,671.8149,672.4549
81,jeweils,ADV,672.4549,673.4049
82,jeweils,ADV,673.6349,674.4149
83,an,ADP,674.4149,674.8449
84,äh,INTJ,674.9049,675.1349
85,den,DET,675.2049,675.3649
86,beiden,PRON,675.3649,675.5849
87,Seiten,NOUN,675.5849,675.8049
88,links,ADV,675.8049,676.0049
89,und,CCONJ,676.0049,676.1149
90,rechts,ADV,676.1149,676.3449
91,zwei,NUM,676.3449,676.8749
92,Türen,NOUN,676.8749,677.2649
93,so,ADV,677.4049,677.4749
94,dass,SCONJ,677.4749,677.8549
95,auf,ADP,677.8549,677.9749
96,der,DET,677.9749,678.0949
97,einen,DET,678.0949,678.2549
98,Seite,NOUN,678.2549,678.5849
